234757,220319
212461,224433
167637,167357
124958,113256
299613,254770
122953,180368
164508,106880
146611,118283
146732,133130
109656,136003
124670,191420
113407,149460
137766,154243
123653,139559
111028,104475
235448,242362
160427,104145
147251,167641
187883,103408
137314,186760
163477,138019
117133,155827
158368,126084
142076,146739
280682,269435
141640,144629
284139,242069
115112,165763
200121,116675
160314,128023
157752,205236
105075,152789
212667,267997
122670,129915
145000,188688
155730,109881
106907,114943
165121,197161
109683,191628
148206,201574
137875,147489
158173,137930
133002,110143
117479,108924
229738,232569
273279,293432
235203,212600
146063,195626
132941,201570
155417,187976
112488,182944
141624,137617
122699,121137
131062,203724
241560,233864
161756,103918
241951,261154
133942,145671
132754,103860
217916,212242
140188,190114
124590,159189
149375,113435
132941,160111
112823,110685
243887,226809
197915,154107
105947,164297
137549,130255
151014,130757
107271,118506
138589,116004
121854,157021
201139,125131
150284,112470
132725,121422
149027,107325
298468,237254
121104,204470
109777,111992
124980,104075
126320,118807
141982,160137
54547,18806
148264,148970
144384,105993
103649,114968
147111,141739
136124,144111
106331,110639
136123,133690
122319,134792
134042,153524
218365,274150
287862,245819
154162,162699
120443,124394
134124,124668
188237,109251
280761,282232
